method,question_count,visited_frames,micro_l0,micro_l1,micro_l2,macro_l0,macro_l1,macro_l2,unique_l2_per_question
advtest,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
advtest,100,2,0.0267022696929239,0.0028035885933995514,0.00021677384929215,0.056140350877192984,0.036062378167641324,0.03347093223254214,1.17
advtest,200,3,0.050734312416555405,0.01281640499839795,0.0006725547631884655,0.09019607843137255,0.06123151014791882,0.036374555670221305,1.815
advtest,300,4,0.07209612817089453,0.02162768343479654,0.0011505688923967962,0.1282051282051282,0.09056157550739594,0.040837853809990034,2.07
advtest,400,5,0.09746328437917223,0.028035885933995513,0.0014710977464783513,0.15104166666666666,0.11862712554875243,0.04697315220335294,1.985
advtest,500,6,0.1375166889185581,0.04397628965075297,0.0021121554546414617,0.1893939393939394,0.13308012326787919,0.047807940175237686,2.28
advtest,600,7,0.1602136181575434,0.056231976930471,0.0026531636939005026,0.22564102564102564,0.15996990015765608,0.05076886813616565,2.3866666666666667
advtest,700,8,0.18958611481975968,0.06264017942966998,0.0030978280001408105,0.25517241379310346,0.18725296192347646,0.05891117283019448,2.388571428571429
advtest,800,9,0.21228304405874499,0.0774591477090676,0.003861168392520005,0.3,0.2189989936695082,0.06330818067547819,2.605
advtest,900,10,0.24699599465954605,0.0818647869272669,0.004148347423633537,0.3288888888888889,0.23832028540459305,0.09363111444668783,2.4877777777777776
advtest,1000,11,0.27102803738317754,0.0962832425504646,0.004798668971509988,0.36666666666666664,0.2616725653085971,0.09578660263665877,2.59
random,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,100,2,0.028037383177570093,0.002643383530919577,0.0002093627775214782,0.05789473684210526,0.03567251461988304,0.03342506593280587,1.13
random,200,3,0.0534045393858478,0.013457225248317847,0.000509511184233686,0.09411764705882353,0.0628411306042885,0.035394736842105264,1.375
random,300,4,0.07209612817089453,0.02306952899711631,0.0008615370933405962,0.1282051282051282,0.09498668113219197,0.03879194420990087,1.55
random,400,5,0.09746328437917223,0.029237423902595323,0.0011375995167981206,0.15104166666666666,0.12213032601777234,0.043994841670862844,1.535
random,500,6,0.1321762349799733,0.043735982057033,0.0014192202440836488,0.18333333333333332,0.1352194546310945,0.04436519264605253,1.532
random,600,7,0.1602136181575434,0.05575136174303108,0.0017212214187385243,0.22564102564102564,0.16082718023882012,0.04601576429662418,1.5483333333333333
random,700,8,0.1842456608811749,0.061598846523550146,0.0020084004498520567,0.25057471264367814,0.18753552936096232,0.05175104646868796,1.5485714285714285
random,800,9,0.21228304405874499,0.07585709708426787,0.002360426358958967,0.3,0.21720164868225406,0.0548441559985791,1.5925
random,900,10,0.24566088117489987,0.08026273630246716,0.002630930478588487,0.3277777777777778,0.23803361365215006,0.08577190640908813,1.5777777777777777
random,1000,11,0.27102803738317754,0.09396026914450496,0.0029347844211860307,0.36666666666666664,0.2592478783146906,0.08666534247493798,1.584
qatest,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qatest,100,2,0.028037383177570093,0.002723486062159564,0.0002093627775214782,0.05789473684210526,0.03586744639376218,0.03342506593280587,1.13
qatest,200,3,0.0520694259012016,0.012576097404677989,0.0004409587703549718,0.09215686274509803,0.060496216030271756,0.0348973741543401,1.19
qatest,300,4,0.07209612817089453,0.0218679910285165,0.0006984935143858167,0.1282051282051282,0.09111461723690827,0.0373486973409574,1.2566666666666666
qatest,400,5,0.09612817089452604,0.028035885933995513,0.0009189728995633026,0.15,0.11897855437503894,0.041605753009303394,1.24
qatest,500,6,0.13618157543391188,0.042534444088433196,0.0012172685383328424,0.18787878787878787,0.13214477883158599,0.04200621500250732,1.314
qatest,600,7,0.16154873164218958,0.05462992630567126,0.0014729505144210192,0.2282051282051282,0.15761375430056146,0.04325496625125857,1.325
qatest,700,8,0.1842456608811749,0.060717718679910285,0.0018027432082159142,0.25057471264367814,0.18560415470475497,0.04981218085445018,1.39
qatest,800,9,0.21228304405874499,0.07497596924062801,0.002143652509666817,0.3,0.21677547380710854,0.05288704553851027,1.44625
qatest,900,10,0.24833110814419226,0.07834027555270746,0.002353015287188295,0.33,0.23510059695981791,0.0837244839621556,1.4111111111111112
qatest,1000,11,0.27102803738317754,0.09211791092598526,0.0026531636939005026,0.36666666666666664,0.25581214594722895,0.08461244657425614,1.432
qaasker,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qaasker,100,2,0.018691588785046728,0.002162768343479654,0.00010931330861740897,0.045614035087719294,0.03450292397660819,0.01781217750257998,0.59
qaasker,200,3,0.04539385847797063,0.008891380967638578,0.00023344876077616156,0.08235294117647059,0.051228356839811945,0.018604804494897372,0.63
qaasker,300,4,0.06675567423230974,0.014418455623197693,0.00036314251676291794,0.11794871794871795,0.06923363587450275,0.01986114619241554,0.6533333333333333
qaasker,400,5,0.08277703604806408,0.019224607497596923,0.0005021001124630142,0.13958333333333334,0.0930739308841526,0.022665069419725865,0.6775
qaasker,500,6,0.1268357810413885,0.02731496315283563,0.0006447632440484462,0.17727272727272728,0.10032414035210399,0.022852485050689885,0.696
qaasker,600,7,0.1548731642189586,0.03468439602691445,0.0008003957512325539,0.2153846153846154,0.11558110560906926,0.02361672081492565,0.72
qaasker,700,8,0.17623497997329773,0.03989106055751362,0.0009708504019580052,0.24367816091954023,0.1405968944179615,0.02690445053943698,0.7485714285714286
qaasker,800,9,0.2096128170894526,0.0475008010253124,0.0011135135335434373,0.2904761904761905,0.15742776469710765,0.028081851257067584,0.75125
qaasker,900,10,0.2349799732977303,0.05054469721243191,0.0012765571124982167,0.3188888888888889,0.18299974061391117,0.0468913750665914,0.7655555555555555
qaasker,1000,11,0.26702269692923897,0.05855495033643063,0.0014396006914529963,0.3595238095238095,0.19529732808391242,0.047410090068065014,0.777
