run,call_budget,method,method_label,role,wrong,failure_rate,unique_failures,unique_failures_per_100_calls,duplicate_failure_rate,failed_unique_l2,visited_frames,gt_granularity
call20,20,advtest,ADVTEST,,19,0.95,19,95.0,0.0,31,1,
call20,20,random,Random,,12,0.6,12,60.0,0.0,16,1,
call20,20,official_qa,Official NuScenes-QA,,14,0.7,14,70.0,0.0,0,2,
call20,20,qatest_adapted,QATest-adapted,,16,0.8,15,75.0,0.0625,0,18,
call100,100,advtest,ADVTEST,proposed_method,92,0.92,92,92.0,0.0,236,2,
call100,100,random,Random,internal_ablation,86,0.86,86,86.0,0.0,169,2,
call100,100,official_qa,Official NuScenes-QA,neutral_reference,67,0.67,67,67.0,0.0,0,6,
call100,100,qatest_adapted,QATest-adapted,external_comparison,62,0.62,58,58.0,0.064516129,0,53,
call1000,1000,advtest,ADVTEST,proposed_method,981,0.981,981,98.1,0.0,4488,20,instance_or_relation
call1000,1000,random,Random,internal_ablation,912,0.912,912,91.2,0.0,2727,20,instance_or_relation
call1000,1000,official_qa,Official NuScenes-QA,neutral_reference,650,0.65,650,65.0,0.0,0,67,category_level_official
call1000,1000,qatest_adapted,QATest-adapted,external_comparison,637,0.637,468,46.800000000000004,0.2653061224489796,0,100,category_level_official
